State,Traffic Top Host 1,Traffic Top Host 2,Traffic Top Host 3
00,128.227.26.25:382144,18.30.102.141:852144,77.57.28.119:910710
01,29.189.251.194:782938,53.112.10.32:915617,23.162.137.132:906630
02,193.4.203.220:116547,45.238.60.148:485648,22.226.182.51:351402
03,159.81.23.154:75637,223.207.132.233:940980,110.1.147.248:523789
04,123.185.138.71:586486,168.117.133.229:38175,1.252.236.183:184838
05,70.86.128.93:943694,147.60.193.23:149938,178.134.39.70:493839
06,173.193.56.56:37227,206.225.126.83:776765,136.84.195.116:47954
07,242.186.99.114:93505,84.6.84.22:118517,122.200.164.162:57899
08,35.80.208.91:535643,218.41.106.89:489497,49.225.210.244:337444
09,222.230.17.65:349850,41.150.96.125:672920,126.248.116.35:606119
10,131.70.235.84:631846,116.46.203.223:530701,72.16.105.27:20299
11,191.249.236.209:229811,69.250.208.165:468390,125.35.112.242:277753
12,11.117.141.247:790538,47.107.249.250:293750,129.67.91.234:370115
13,97.170.88.77:482669,146.146.117.99:220135,237.225.92.94:824751
14,163.105.73.48:379007,19.96.204.12:354615,24.141.158.116:469118
15,253.213.34.85:134093,158.232.181.19:297943,237.1.45.73:374353
16,0.237.201.73:117374,42.92.126.247:411611,216.15.246.119:514900
17,111.116.88.145:788980,123.47.178.48:264052,254.29.69.43:404561
18,165.44.84.110:460349,114.153.210.240:566497,60.201.160.50:254006
19,36.162.181.125:201438,127.248.99.49:161313,166.48.71.236:361542
20,174.145.136.3:999589,254.118.153.209:402839,42.13.48.203:252044
21,113.239.226.39:426873,22.167.102.121:847584,143.32.9.214:47888
22,102.133.157.239:534001,157.237.254.54:747579,102.96.204.150:172063
23,13.8.27.239:188343,137.6.215.239:497659,176.126.159.185:333132
24,171.31.218.73:58722,99.230.252.98:114047,188.200.126.137:371948
25,170.150.103.197:525954,152.78.140.111:242820,12.31.188.171:849525
26,18.87.249.236:628042,8.79.135.5:695862,164.193.122.34:292643
27,217.204.225.65:573496,104.217.225.244:286299,31.1.104.220:674759
28,66.238.4.59:857819,165.68.43.44:287886,221.208.11.88:951706
29,86.49.192.55:450873,83.160.77.53:582310,150.85.150.255:194602
30,66.65.32.71:491534,252.236.194.39:95902,11.5.233.23:365843
31,221.109.143.157:646226,2.240.69.80:148783,218.230.123.112:899287
32,172.179.40.205:979457,166.202.230.104:944891,255.116.247.232:543970
33,85.198.248.228:389557,158.231.84.227:216814,122.190.30.245:184307
34,4.162.226.44:439618,221.210.58.196:229644,44.195.174.35:675147
35,58.120.114.50:365233,214.209.68.43:706577,124.166.115.154:609672
36,162.158.62.133:795267,175.98.158.234:153436,216.22.235.135:228077
37,152.193.179.10:955983,16.225.197.85:50454,122.210.179.238:424617
38,79.144.11.142:85159,215.61.120.117:154723,159.78.62.139:837062
39,120.35.152.43:179782,140.60.15.82:572152,28.205.100.207:732169
40,209.30.75.220:675017,97.180.234.218:163104,17.122.120.80:21048
41,78.200.40.230:954864,86.115.49.102:774553,195.130.147.40:321018
42,79.249.112.155:837992,29.252.138.8:840646,180.26.81.44:414607
43,86.123.50.127:382792,39.213.213.88:234359,155.27.190.47:266495
44,16.126.61.129:100703,20.159.22.159:654151,237.83.193.63:501623
45,43.150.251.94:84321,93.133.235.51:866735,39.207.249.230:994923
46,62.246.125.123:470880,151.144.23.173:184439,191.155.130.128:855103
47,3.172.113.254:42747,134.92.144.114:562499,110.153.95.104:498959
48,93.166.118.219:133513,239.114.178.7:125783,225.198.187.100:278836
49,150.103.243.7:400890,254.142.195.143:2685,83.253.154.178:398395
50,26.16.12.144:920166,46.127.93.224:526898,126.194.77.57:151267
51,148.208.142.136:845643,244.135.102.184:89677,103.11.20.2:742769
52,122.28.206.135:674889,186.181.44.24:587215,179.150.88.0:813159
53,127.149.160.13:118166,121.2.165.224:730797,188.72.198.209:289162
54,132.76.102.83:825025,18.13.136.63:146169,31.242.187.119:952246
55,139.247.137.44:19058,167.165.7.77:524498,194.10.206.137:858200
56,24.14.39.126:381806,251.145.111.131:815633,148.162.195.80:103832
57,183.219.17.64:33548,22.232.174.30:210441,52.224.64.3:415605
58,27.27.120.67:600810,218.62.43.73:760073,251.222.101.191:181267
59,128.119.10.145:719038,18.168.160.193:775417,214.246.167.22:974185
