Assignment,Organization Name
E043DB,"Shenzhen ViewAt Technology Co.,Ltd. "
2405F5,Integrated Device Technology (Malaysia) Sdn. Bhd.
3CD92B,Hewlett Packard
9C8E99,Hewlett Packard
B499BA,Hewlett Packard
1CC1DE,Hewlett Packard
3C3556,Cognitec Systems GmbH
0050BA,D-Link Corporation
00179A,D-Link Corporation
1CBDB9,D-Link International
90940000,D-Link International
28107B,D-Link International
1C7EE5,D-Link International
C4A81D,D-Link International
18622C,Sagemcom Broadband SAS
7C03D8,Sagemcom Broadband SAS
E8F1B0,Sagemcom Broadband SAS
00F871,DGS Denmark A/S
20BB76,COL GIOVANNI PAOLO SpA
2C228B,CTR SRL
348AAE,Sagemcom Broadband SAS
BCEC23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
8CE748,Private
AC06C7,ServerNet S.r.l.
CC46D6,"Cisco Systems, Inc"
48AD08,"HUAWEI TECHNOLOGIES CO.,LTD"
2CAB00,"HUAWEI TECHNOLOGIES CO.,LTD"
00E0FC,"HUAWEI TECHNOLOGIES CO.,LTD"
24DF6A,"HUAWEI TECHNOLOGIES CO.,LTD"
009ACD,"HUAWEI TECHNOLOGIES CO.,LTD"
00CDFE,"Apple, Inc."
38F23E,Microsoft Mobile Oy
58AC78,"Cisco Systems, Inc"
907F61,"Chicony Electronics Co., Ltd."
28BC18,SourcingOverseas Co. Ltd
807ABF,HTC Corporation
409F87,Jide Technology (Hong Kong) Limited
3C5AB4,"Google, Inc."
001A11,"Google, Inc."
D83C69,Shenzhen TINNO Mobile Technology Corp.
74AC5F,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd."
18AF61,"Apple, Inc."
BC83A7,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD"
347,Intel Corporation
1175,Intel Corporation
1300000000,Intel Corporate
1302,Intel Corporate
E4F89C,Intel Corporate
A402B9,Intel Corporate
4C3488,Intel Corporate
000D0B,BUFFALO.INC
740,BUFFALO.INC
0024A5,BUFFALO.INC
DCFB02,BUFFALO.INC
F4CE46,Hewlett Packard
001CC4,Hewlett Packard
0025B3,Hewlett Packard
1871,Hewlett Packard
000BCD,Hewlett Packard
000E7F,Hewlett Packard
000F20,Hewlett Packard
00110A,Hewlett Packard
1321,Hewlett Packard
1635,Hewlett Packard
0017A4,Hewlett Packard
802,Hewlett Packard
90E7C4,HTC Corporation
74A78E,zte corporation
D860B0,bioMérieux Italia S.p.A.
8038BC,"HUAWEI TECHNOLOGIES CO.,LTD"
D440F0,"HUAWEI TECHNOLOGIES CO.,LTD"
64A651,"HUAWEI TECHNOLOGIES CO.,LTD"
E8CD2D,"HUAWEI TECHNOLOGIES CO.,LTD"
ACE215,"HUAWEI TECHNOLOGIES CO.,LTD"
EC233D,"HUAWEI TECHNOLOGIES CO.,LTD"
78F5FD,"HUAWEI TECHNOLOGIES CO.,LTD"
80B686,"HUAWEI TECHNOLOGIES CO.,LTD"
10C61F,"HUAWEI TECHNOLOGIES CO.,LTD"
8853D4,"HUAWEI TECHNOLOGIES CO.,LTD"
0C37DC,"HUAWEI TECHNOLOGIES CO.,LTD"
BC7670,"HUAWEI TECHNOLOGIES CO.,LTD"
24DBAC,"HUAWEI TECHNOLOGIES CO.,LTD"
2100000000,"Murata Manufacturing Co., Ltd."
6057,"Murata Manufacturing Co., Ltd."
0007D8,Hitron Technologies. Inc
84742A,zte corporation
681AB2,zte corporation
E005C5,"TP-LINK TECHNOLOGIES CO.,LTD."
A0F3C1,"TP-LINK TECHNOLOGIES CO.,LTD."
8C210A,"TP-LINK TECHNOLOGIES CO.,LTD."
EC172F,"TP-LINK TECHNOLOGIES CO.,LTD."
EC888F,"TP-LINK TECHNOLOGIES CO.,LTD."
14CF92,"TP-LINK TECHNOLOGIES CO.,LTD."
645601,"TP-LINK TECHNOLOGIES CO.,LTD."
14CC20,"TP-LINK TECHNOLOGIES CO.,LTD."
BC4699,"TP-LINK TECHNOLOGIES CO.,LTD."
0C45BA,"HUAWEI TECHNOLOGIES CO.,LTD"
847778,Cochlear Limited
0453D5,Sysorex Global Holdings
CC4463,"Apple, Inc."
6C72E7,"Apple, Inc."
CCA223,"HUAWEI TECHNOLOGIES CO.,LTD"
E8088B,"HUAWEI TECHNOLOGIES CO.,LTD"
60E701,"HUAWEI TECHNOLOGIES CO.,LTD"
883,Hewlett Packard
C4346B,Hewlett Packard
8CDCD4,Hewlett Packard
3464A9,Hewlett Packard
D4C9EF,Hewlett Packard
A45D36,Hewlett Packard
A0D3C1,Hewlett Packard
40A8F0,Hewlett Packard
6C3BE5,Hewlett Packard
082E5F,Hewlett Packard
28924A,Hewlett Packard
10604B,Hewlett Packard
308D99,Hewlett Packard
0030C1,Hewlett Packard
FC3FDB,Hewlett Packard
4CA161,Rain Bird Corporation
7C6193,HTC Corporation
1217,"Cisco-Linksys, LLC"
000C41,"Cisco-Linksys, LLC"
000F66,"Cisco-Linksys, LLC"
44E08E,Cisco SPVTG
185933,Cisco SPVTG
E448C7,Cisco SPVTG
24767D,Cisco SPVTG
2CABA4,Cisco SPVTG
0002C7,"ALPS ELECTRIC CO.,LTD."
04766E,"ALPS ELECTRIC CO.,LTD."
006B8E,"Shanghai Feixun Communication Co.,Ltd."
AC853D,"HUAWEI TECHNOLOGIES CO.,LTD"
74882A,"HUAWEI TECHNOLOGIES CO.,LTD"
78D752,"HUAWEI TECHNOLOGIES CO.,LTD"
E0247F,"HUAWEI TECHNOLOGIES CO.,LTD"
00464B,"HUAWEI TECHNOLOGIES CO.,LTD"
707BE8,"HUAWEI TECHNOLOGIES CO.,LTD"
548998,"HUAWEI TECHNOLOGIES CO.,LTD"
0819A6,"HUAWEI TECHNOLOGIES CO.,LTD"
3CF808,"HUAWEI TECHNOLOGIES CO.,LTD"
B41513,"HUAWEI TECHNOLOGIES CO.,LTD"
283152,"HUAWEI TECHNOLOGIES CO.,LTD"
DCD2FC,"HUAWEI TECHNOLOGIES CO.,LTD"
0003DD,Comark Interactive Solutions
00107B,"Cisco Systems, Inc"
00906D,"Cisco Systems, Inc"
0090BF,"Cisco Systems, Inc"
5080,"Cisco Systems, Inc"
0,ASUSTek COMPUTER INC.
000C6E,ASUSTek COMPUTER INC.
001BFC,ASUSTek COMPUTER INC.
001E8C,ASUSTek COMPUTER INC.
0015F2,ASUSTek COMPUTER INC.
2354,ASUSTek COMPUTER INC.
001FC6,ASUSTek COMPUTER INC.
60182E,ShenZhen Protruly Electronic Ltd co.
F4CFE2,"Cisco Systems, Inc"
501CBF,"Cisco Systems, Inc"
285FDB,"HUAWEI TECHNOLOGIES CO.,LTD"
404D8E,"HUAWEI TECHNOLOGIES CO.,LTD"
781DBA,"HUAWEI TECHNOLOGIES CO.,LTD"
10000000000,"HUAWEI TECHNOLOGIES CO.,LTD"
88F031,"Cisco Systems, Inc"
508789,"Cisco Systems, Inc"
381C1A,"Cisco Systems, Inc"
F40F1B,"Cisco Systems, Inc"
BC671C,"Cisco Systems, Inc"
A0ECF9,"Cisco Systems, Inc"
D46D50,"Cisco Systems, Inc"
1CE85D,"Cisco Systems, Inc"
C47295,"Cisco Systems, Inc"
A0554F,"Cisco Systems, Inc"
84B802,"Cisco Systems, Inc"
BCC493,"Cisco Systems, Inc"
1947,Cisco SPVTG
0022CE,Cisco SPVTG
F02929,"Cisco Systems, Inc"
ECE1A9,"Cisco Systems, Inc"
7C69F6,"Cisco Systems, Inc"
C08C60,"Cisco Systems, Inc"
C0255C,"Cisco Systems, Inc"
885A92,"Cisco Systems, Inc"
E4C722,"Cisco Systems, Inc"
C07BBC,"Cisco Systems, Inc"
0090F2,"Cisco Systems, Inc"
00173B,"Cisco Systems, Inc"
00400B,"Cisco Systems, Inc"
6009,"Cisco Systems, Inc"
6047,"Cisco Systems, Inc"
0006C1,"Cisco Systems, Inc"
0,"Cisco Systems, Inc"
00E01E,"Cisco Systems, Inc"
ACF2C5,"Cisco Systems, Inc"
CCC760,"Apple, Inc."
87402,"Apple, Inc."
285AEB,"Apple, Inc."
28F076,"Apple, Inc."
84285A,Saffron Solutions Inc
80A1AB,Intellisis
44D884,"Apple, Inc."
EC852F,"Apple, Inc."
286ABA,"Apple, Inc."
705681,"Apple, Inc."
7CD1C3,"Apple, Inc."
F0DCE2,"Apple, Inc."
B065BD,"Apple, Inc."
A82066,"Apple, Inc."
BC6778,"Apple, Inc."
68967B,"Apple, Inc."
848506,"Apple, Inc."
B4F0AB,"Apple, Inc."
10DDB1,"Apple, Inc."
04F7E4,"Apple, Inc."
34C059,"Apple, Inc."
F0D1A9,"Apple, Inc."
F82793,"Apple, Inc."
ACFDEC,"Apple, Inc."
D0E140,"Apple, Inc."
F832E4,ASUSTek COMPUTER INC.
8C7C92,"Apple, Inc."
7831C1,"Apple, Inc."
F437B7,"Apple, Inc."
54AE27,"Apple, Inc."
6476BA,"Apple, Inc."
84B153,"Apple, Inc."
783A84,"Apple, Inc."
2CBE08,"Apple, Inc."
24E314,"Apple, Inc."
0010FF,"Cisco Systems, Inc"
34BDC8,"Cisco Systems, Inc"
54A274,"Cisco Systems, Inc"
5897BD,"Cisco Systems, Inc"
046C9D,"Cisco Systems, Inc"
60FEC5,"Apple, Inc."
00A040,"Apple, Inc."
BC3BAF,"Apple, Inc."
786C1C,"Apple, Inc."
41552,"Apple, Inc."
38484C,"Apple, Inc."
701124,"Apple, Inc."
C86F1D,"Apple, Inc."
685B35,"Apple, Inc."
380F4A,"Apple, Inc."
30100000,"Apple, Inc."
04DB56,"Apple, Inc."
881FA1,"Apple, Inc."
04E536,"Apple, Inc."
109ADD,"Apple, Inc."
40A6D9,"Apple, Inc."
7CF05F,"Apple, Inc."
A4B197,"Apple, Inc."
0C74C2,"Apple, Inc."
403004,"Apple, Inc."
4860BC,"Apple, Inc."
50EAD6,"Apple, Inc."
28E02C,"Apple, Inc."
60C547,"Apple, Inc."
7C11BE,"Apple, Inc."
003EE1,"Apple, Inc."
68D93C,"Apple, Inc."
2CF0EE,"Apple, Inc."
84788B,"Apple, Inc."
6C94F8,"Apple, Inc."
703EAC,"Apple, Inc."
C01ADA,"Apple, Inc."
34363B,"Apple, Inc."
C81EE7,"Apple, Inc."
9CFC01,"Apple, Inc."
000D93,"Apple, Inc."
001CB3,"Apple, Inc."
64B9E8,"Apple, Inc."
34159E,"Apple, Inc."
58B035,"Apple, Inc."
F0B479,"Apple, Inc."
141357,"ATP Electronics, Inc."
F44B2A,Cisco SPVTG
3C8CF8,"TRENDnet, Inc."
78D6B2,Toshiba
C04A09,"Zhejiang Everbright Communication Equip. Co,. Ltd"
F00D5C,"JinQianMao  Technology Co.,Ltd."
2C081C,OVH
3E+091,"Linctronix Ltd,"
70BF3E,Charles River Laboratories
D848EE,"Hangzhou Xueji Technology Co., Ltd."
88947E,"Fiberhome Telecommunication Technologies Co.,LTD"
88C242,Poynt Co.
E8343E,"Beijing Infosec Technologies Co., LTD."
C4ADF1,GOPEACE Inc.
58F496,Source Chain
80B709,"Viptela, Inc"
1C60DE,"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD."
741865,"Shanghai DareGlobal Technologies Co.,Ltd"
0084ED,Private
DCDC07,TRP Systems BV
080A4E,Planet Bingo® — 3rd Rock Gaming®
0C1A10,Acoustic Stream
E4A387,Control Solutions LLC
DC82F6,iPort
C49E41,G24 Power Limited
D03E5C,"HUAWEI TECHNOLOGIES CO.,LTD"
C8A9FC,Goyoo Networks Inc.
C49FF3,"Mciao Technologies, Inc."
7C2BE1,"Shenzhen Ferex Electrical Co.,Ltd"
30FFF6,"HangZhou KuoHeng Technology Co.,ltd"
5853C0,"Beijing Guang Runtong Technology Development Company co.,Ltd"
5031AD,ABB Global Industries and Services Private Limited
30A243,"Shenzhen Prifox Innovation Technology Co., Ltd."
2CA539,"Parallel Wireless, Inc"
FC335F,Polyera
A8C87F,"Roqos, Inc."
C025A2,"NEC Platforms, Ltd."
7853F2,ROXTON Ltd.
ACBC32,"Apple, Inc."
94BBAE,Husqvarna AB
AC8995,AzureWave Technology Inc.
F898B9,"HUAWEI TECHNOLOGIES CO.,LTD"
1C497B,"Gemtek Technology Co., Ltd."
2CCF58,"HUAWEI TECHNOLOGIES CO.,LTD"
54FF82,Davit Solution co.
D445E8,"Jiangxi Hongpai Technology Co., Ltd."
847973,"Shanghai Baud Data Communication Co.,Ltd."
906F18,Private
881B99,SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
681295,Lupine Lighting Systems GmbH
649A12,P2 Mobile Technologies Limited
E4C2D1,"HUAWEI TECHNOLOGIES CO.,LTD"
DC3CF6,Atomic Rules LLC
3C3178,Qolsys Inc.
F4573E,"Fiberhome Telecommunication Technologies Co.,LTD"
083A5C,"Junilab, Inc."
4CAE31,ShengHai Electronics (Shenzhen) Ltd
F0D657,ECHOSENS
24693E,innodisk Corporation
E48D8C,Routerboard.com
C0DC6A,"Qingdao Eastsoft Communication Technology Co.,LTD"
6459F8,Vodafone Omnitel B.V.
082CB0,Network Instruments
F0AB54,"MITSUMI ELECTRIC CO.,LTD."
485073,Microsoft Corporation
3CA31A,Oilfind International LLC
A424DD,Cambrionix Ltd
88A2D7,"HUAWEI TECHNOLOGIES CO.,LTD"
D89A34,"Beijing SHENQI Technology Co., Ltd."
1CADD1,"Bosung Electronics Co., Ltd."
24E5AA,"Philips Oral Healthcare, Inc."
88CBA5,"Suzhou Torchstar Intelligent Technology Co.,Ltd"
46169,"MEDIA GLOBAL LINKS CO., LTD."
AC562C,LAVA INTERNATIONAL(H.K) LIMITED
3CCE15,"Mercedes-Benz USA, LLC"
84DF19,Chuango Security Technology Corporation
3C4711,"HUAWEI TECHNOLOGIES CO.,LTD"
245BF0,"Liteon, Inc."
FCFEC2,Invensys Controls UK Limited
E8F2E2,LG Innotek
AC676F,Electrocompaniet A.S.
4CB82C,"Cambridge Mobile Telematics, Inc."
F0224E,Esan electronic co.
B0411D,ITTIM Technologies
7CB25C,Acacia Communications
78EB39,Instituto Nacional de Tecnología Industrial
7CC95A,EMC
ECEED8,"ZTLX Network Technology Co.,Ltd"
F85B9C,"SB SYSTEMS Co.,Ltd"
7CA237,"King Slide Technology CO., LTD."
300EE3,Aquantia Corporation
847303,Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
B0495F,"OMRON HEALTHCARE Co., Ltd."
BC6E64,Sony Mobile Communications AB
F44713,"Leading Public Performance Co., Ltd."
D4522A,TangoWiFi.com
B0ECE1,Private
407FE0,Glory Star Technics (ShenZhen) Limited
BC5C4C,"ELECOM CO.,LTD."
6C5940,"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD."
6CA75F,zte corporation
C8C50E,"Shenzhen Primestone Network Technologies.Co., Ltd."
9CBEE0,"Biosoundlab Co., Ltd."
5C5B35,"Mist Systems, Inc."
E807BF,"SHENZHEN BOOMTECH INDUSTRY CO.,LTD"
E8162B,"IDEO Security Co., Ltd."
709F2D,zte corporation
ECE2FD,"SKG Electric Group(Thailand) Co., Ltd."
88E603,Avotek corporation
74E28C,Microsoft Corporation
94F19E,"HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD"
C4924C,"KEISOKUKI CENTER CO.,LTD."
E4F939,Minxon Hotel Technology INC.
38C70A,WiFiSong
60E6BC,"Sino-Telecom Technology Co.,Ltd."
486EFB,"Davit System Technology Co., Ltd."
340A22,TOP-ACCESS ELECTRONICS CO LTD
B008BF,"Vital Connect, Inc."
485415,NET RULES TECNOLOGIA EIRELI
70C76F,INNO S
"7,04E+068","SHENZHEN FAST TECHNOLOGIES CO.,LTD"
409B0D,"Shenzhen Yourf Kwan Industrial Co., Ltd"
C40880,"Shenzhen UTEPO Tech Co., Ltd."
94C038,Tallac Networks
801967,"Shanghai Reallytek Information Technology  Co.,Ltd"
6836B5,"DriveScale, Inc."
2CF7F1,Seeed Technology Inc.
F88479,"Yaojin Technology(Shenzhen)Co.,Ltd"
4C48DA,"Beijing Autelan Technology Co.,Ltd"
90179B,Nanomegas
3077CB,"Maike Industry(Shenzhen)CO.,LTD"
3428F0,ATN International Limited
EC3C5A,"SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD"
8C0551,Koubachi AG
D88466,Extreme Networks
E887A3,Loxley Public Company Limited
10FACE,"Reacheng Communication Technology Co.,Ltd"
D8CB8A,"Micro-Star INTL CO., LTD."
A8D0E3,Systech Electronics Ltd.
8463D6,Microsoft Corporation
78B3B9,"ShangHai sunup lighting CO.,LTD"
