,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,0,::,28:16:7f:b9:81:ba,28:16:7f,0,ff02::1:ffb9:81ba,33:33:ff:b9:81:ba,33:33:ff,0,58,6,0,0,1624870820574,1624870820574,0,1,86,1624870820574,1624870820574,0,1,86,0,0,0,0,0,ICMPV6,Network,0,,,,,
1,1,0,::,28:16:7f:b9:81:ba,28:16:7f,0,ff02::1:ffb9:81ba,33:33:ff:b9:81:ba,33:33:ff,0,58,6,0,0,1624870820574,1624870820574,0,1,86,1624870820574,1624870820574,0,1,86,0,0,0,0,0,ICMPV6,Network,0,,,,,
2,2,0,10.42.0.96,28:16:7f:b9:81:ba,28:16:7f,43248,142.250.184.99,b4:6b:fc:b4:0f:55,b4:6b:fc,80,6,4,0,0,1624870820899,1624870821057,158,10,1005,1624870820899,1624870821011,112,5,565,1624870820946,1624870821057,111,5,440,HTTP.Google,ConnectivityCheck,0,connectivitycheck.gstatic.com,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.32 Safari/537.36",
3,3,0,::,28:16:7f:b9:81:ba,28:16:7f,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1624870820585,1624870821385,800,3,330,1624870820585,1624870821385,800,3,330,0,0,0,0,0,ICMPV6,Network,0,,,,,
4,4,0,0.0.0.0,28:16:7f:b9:81:ba,28:16:7f,68,255.255.255.255,ff:ff:ff:ff:ff:ff,ff:ff:ff,67,17,4,0,0,1624870820598,1624870820613,15,4,1416,1624870820598,1624870820613,15,4,1416,0,0,0,0,0,DHCP,Network,0,redminote8-panetty,"1,3,6,15,26,28,51",,,
5,5,0,::,28:16:7f:b9:81:ba,28:16:7f,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1624870820585,1624870821385,800,3,330,1624870820585,1624870821385,800,3,330,0,0,0,0,0,ICMPV6,Network,0,,,,,
6,6,0,10.42.0.1,b4:6b:fc:b4:0f:55,b4:6b:fc,67,10.42.0.96,28:16:7f:b9:81:ba,28:16:7f,68,17,4,0,0,1624870820598,1624870820619,21,2,684,1624870820598,1624870820619,21,2,684,0,0,0,0,0,DHCP,Network,0,,,,,
7,7,0,10.42.0.96,28:16:7f:b9:81:ba,28:16:7f,41140,18.196.107.251,b4:6b:fc:b4:0f:55,b4:6b:fc,5222,6,4,0,0,1624870820996,1624870825198,4202,13,2455,1624870820996,1624870825137,4141,7,1879,1624870821053,1624870825198,4145,6,576,Unknown,Unspecified,0,,,,,
8,8,0,10.42.0.96,28:16:7f:b9:81:ba,28:16:7f,43210,216.58.209.54,b4:6b:fc:b4:0f:55,b4:6b:fc,443,6,4,0,0,1624870823330,1624870824073,743,23,6408,1624870823330,1624870824028,698,13,1768,1624870823367,1624870824073,706,10,4640,TLS.YouTube,Media,0,i.ytimg.com,b32309a26951912be7dba376398abc3b,eb1d94daa7e0344597e756a1fb6e7054,,
9,9,0,10.42.0.96,28:16:7f:b9:81:ba,28:16:7f,44222,142.250.184.42,b4:6b:fc:b4:0f:55,b4:6b:fc,443,6,4,0,0,1624870823267,1624870823962,695,22,6281,1624870823267,1624870823912,645,13,1776,1624870823306,1624870823962,656,9,4505,TLS.YouTube,Media,0,youtubei.googleapis.com,b32309a26951912be7dba376398abc3b,eb1d94daa7e0344597e756a1fb6e7054,,
