src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,packet_count,byte_count,termination_reason
192.168.1.6,104.18.19.125,53294,443,TCP,1789895287.275915,1789895287.687021,0.4111061096191406,4,1396,inactive_timeout
104.18.19.125,192.168.1.6,443,53294,TCP,1789895287.325049,1789895287.739603,0.4145541191101074,3,279,inactive_timeout
192.168.1.10,224.0.0.251,5353,5353,UDP,1789895283.907788,1789895292.921234,9.013445854187012,2,280,inactive_timeout
192.168.1.6,104.18.19.125,53294,443,TCP,1789895317.279366,1789895317.689949,0.4105830192565918,4,1312,inactive_timeout
104.18.19.125,192.168.1.6,443,53294,TCP,1789895317.345905,1789895317.740295,0.3943898677825928,3,279,inactive_timeout
192.168.1.6,3.222.88.17,50532,443,TCP,1789895304.910757,1789895304.910757,0.0,1,54,inactive_timeout
3.222.88.17,192.168.1.6,443,50532,TCP,1789895305.050091,1789895305.050091,0.0,1,66,inactive_timeout
192.168.1.6,50.17.194.101,62374,443,TCP,1789895313.671183,1789895313.671183,0.0,1,54,inactive_timeout
50.17.194.101,192.168.1.6,443,62374,TCP,1789895313.808221,1789895313.808221,0.0,1,66,inactive_timeout
192.168.1.6,192.168.1.13,0,0,ICMP,1789895286.205748,1789895331.381044,45.17529582977295,46,4508,inactive_timeout
192.168.1.13,192.168.1.6,0,0,ICMP,1789895286.220122,1789895331.401093,45.180970907211304,46,4508,inactive_timeout
192.168.1.6,104.18.19.125,53294,443,TCP,1789895347.280906,1789895347.628437,0.3475310802459717,4,1274,inactive_timeout
104.18.19.125,192.168.1.6,443,53294,TCP,1789895347.332564,1789895347.686794,0.3542299270629883,3,279,inactive_timeout
192.168.1.6,104.18.19.125,53131,443,TCP,1789895326.588099,1789895341.660091,15.071991920471191,19,14519,inactive_timeout
104.18.19.125,192.168.1.6,443,53131,TCP,1789895326.653403,1789895341.698817,15.045413970947266,16,1450,inactive_timeout
192.168.1.6,104.18.39.85,56666,443,TCP,1789895331.60427,1789895332.339239,0.734968900680542,4,1598,inactive_timeout
104.18.39.85,192.168.1.6,443,56666,TCP,1789895331.694644,1789895332.40568,0.711035966873169,5,765,inactive_timeout
192.168.1.6,3.222.88.17,50532,443,TCP,1789895350.052226,1789895350.052226,0.0,1,54,inactive_timeout
3.222.88.17,192.168.1.6,443,50532,TCP,1789895350.213391,1789895350.213391,0.0,1,66,inactive_timeout
192.168.1.10,224.0.0.251,5353,5353,UDP,1789895319.955709,1789895319.955709,0.0,1,140,inactive_timeout
192.168.1.6,50.17.194.101,62374,443,TCP,1789895359.078479,1789895359.078479,0.0,1,54,inactive_timeout
50.17.194.101,192.168.1.6,443,62374,TCP,1789895359.215041,1789895359.215041,0.0,1,66,inactive_timeout
