window_id,window_start_seconds,window_end_seconds,window_start_datetime,new_flow_count,distinct_destination_ports,distinct_destination_hosts,port_entropy,average_packets_per_flow,average_bytes_per_flow,average_flow_duration
0,0,5,2026-09-20 09:08:02.760355949,21,10,9,2.9053077763737467,14.238095238095237,3431.3333333333335,19.2177730401357
1,5,10,2026-09-20 09:08:07.760355949,23,4,4,0.7653636126766978,1.608695652173913,667.1739130434783,0.05094195448833963
2,10,15,2026-09-20 09:08:12.760355949,2,1,2,0.0,1.0,77.0,0.0
3,15,20,2026-09-20 09:08:17.760355949,6,2,2,0.9182958340544896,1.6666666666666667,643.3333333333334,1.5497207641601562e-06
4,20,25,2026-09-20 09:08:22.760355949,3,3,3,1.584962500721156,1.0,65.66666666666667,0.0
5,25,30,2026-09-20 09:08:27.760355949,26,2,2,0.39124356362925566,1.4615384615384615,654.6153846153846,1.4121715839092549e-06
6,30,35,2026-09-20 09:08:32.760355949,6,4,5,1.9182958340544896,1.8333333333333333,310.8333333333333,0.1341621478398641
7,35,40,2026-09-20 09:08:37.760355949,6,3,3,1.2516291673878228,1.6666666666666667,653.8333333333334,0.0007991393407185873
8,40,45,2026-09-20 09:08:42.760355949,6,5,5,2.2516291673878226,7.166666666666667,2761.5,5.271144469579061
9,45,50,2026-09-20 09:08:47.760355949,20,4,4,1.0219280948873624,1.75,689.25,0.07230149507522583
10,50,55,2026-09-20 09:08:52.760355949,125,92,4,6.3517451846447885,1.224,120.024,0.15809705924987794
11,55,60,2026-09-20 09:08:57.760355949,496,376,6,8.466293084580377,1.1169354838709677,105.00403225806451,0.003855531254122334
12,60,65,2026-09-20 09:09:02.760355949,494,373,5,8.45291199372602,1.0303643724696356,76.73886639676114,0.0014939086157300695
13,65,70,2026-09-20 09:09:07.760355949,507,374,5,8.390181187496513,1.0315581854043392,87.24457593688363,9.513841813367735e-05
14,70,75,2026-09-20 09:09:12.760355949,456,341,4,8.319732119427943,1.0219298245614035,72.83552631578948,0.00010203740053009569
15,75,80,2026-09-20 09:09:17.760355949,10,4,5,1.75,7.6,954.1,6.425819325447082
16,80,85,2026-09-20 09:09:22.760355949,5,2,1,0.7219280948873623,1.8,756.6,1.7642974853515626e-06
17,85,90,2026-09-20 09:09:27.760355949,6,2,2,0.9182958340544896,1.6666666666666667,644.6666666666666,1.4702479044596355e-06
18,90,95,2026-09-20 09:09:32.760355949,16,4,4,1.186278124459133,2.125,876.625,0.064751997590065
19,95,100,2026-09-20 09:09:37.760355949,9,2,2,0.5032583347756457,1.4444444444444444,630.5555555555555,6.622738308376736e-07
20,100,105,2026-09-20 09:09:42.760355949,6,5,5,2.2516291673878226,2.8333333333333335,532.3333333333334,0.015303969383239746
21,105,110,2026-09-20 09:09:47.760355949,9,5,5,2.0588138903312014,2.5555555555555554,908.2222222222222,0.1451960934533013
22,110,115,2026-09-20 09:09:52.760355949,23,7,4,1.6539967386657088,9890.260869565218,13586012.56521739,2.6515376464180322
23,115,120,2026-09-20 09:09:57.760355949,11,3,3,1.0957952550009336,1.3636363636363635,535.6363636363636,8.236278187144886e-07
24,120,125,2026-09-20 09:10:02.760355949,5,4,4,1.9219280948873623,2.0,354.4,0.2134161949157715
25,125,130,2026-09-20 09:10:07.760355949,5,2,2,0.7219280948873623,1.8,756.6,1.430511474609375e-06
26,130,135,2026-09-20 09:10:12.760355949,7,4,3,1.6644977792004614,2.142857142857143,607.1428571428571,0.009524311338152205
27,135,140,2026-09-20 09:10:17.760355949,14,2,2,0.5916727785823275,1.2857142857142858,550.5714285714286,4.76837158203125e-07
28,140,145,2026-09-20 09:10:22.760355949,13,4,3,1.2776134368191154,7.384615384615385,1085.923076923077,4.685625846569355
29,145,150,2026-09-20 09:10:27.760355949,8,4,4,1.75,1.5,497.5,1.7583370208740234e-06
30,150,155,2026-09-20 09:10:32.760355949,8,4,4,1.75,2.125,699.75,0.10280895233154297
31,155,160,2026-09-20 09:10:37.760355949,15,4,4,1.0389205950315936,1.3333333333333333,548.3333333333334,0.43774639765421547
32,160,165,2026-09-20 09:10:42.760355949,9,2,2,0.7642045065086203,1.4444444444444444,586.4444444444445,1.7748938666449653e-06
33,165,170,2026-09-20 09:10:47.760355949,7,5,5,2.1280852788913944,3.4285714285714284,485.0,1.4708450521741594
34,170,175,2026-09-20 09:10:52.760355949,6,2,2,0.9182958340544896,1.6666666666666667,643.3333333333334,3.1789143880208335e-06
35,175,180,2026-09-20 09:10:57.760355949,17,2,2,0.3227569588973982,1.4705882352941178,667.3529411764706,1.6969792983111212e-06
